OrgID,OrgName,OrgType,AuthorID,AuthorName
6277,Massachusetts Institute of Technology,[University],5856,Ki-Joo Hong
6277,Massachusetts Institute of Technology,[University],6192,Deokmoon Chang
6277,Massachusetts Institute of Technology,[University],6167,Jongheum Yeon
6277,Massachusetts Institute of Technology,[University],6148,Weimin Pan
6277,Massachusetts Institute of Technology,[University],6044,Jinwon Kwon
6277,Massachusetts Institute of Technology,[University],5903,Jong Myoung Kim
6277,Massachusetts Institute of Technology,[University],227,Xiaohan Li
6277,Massachusetts Institute of Technology,[University],333,Qianjun Liu
6277,Massachusetts Institute of Technology,[University],382,Sunil Kumar
6277,Massachusetts Institute of Technology,[University],389,Li Wang
6277,Massachusetts Institute of Technology,[University],411,Hanghang Tong
6277,Massachusetts Institute of Technology,[University],1149,Yujia Zhai
6277,Massachusetts Institute of Technology,[University],1189,Yu Wang 0041
6277,Massachusetts Institute of Technology,[University],1194,Ruslan Mavlyutov
6277,Massachusetts Institute of Technology,[University],1389,Karine Zeitouni
6277,Massachusetts Institute of Technology,[University],1666,Martin Husák
6277,Massachusetts Institute of Technology,[University],1703,Jonathon Edstrom
6277,Massachusetts Institute of Technology,[University],1787,Yunhuai Liu
6277,Massachusetts Institute of Technology,[University],1853,Wei Li 0059
6277,Massachusetts Institute of Technology,[University],1872,Bill Howe
6277,Massachusetts Institute of Technology,[University],1884,Xiao-Yang Liu
6277,Massachusetts Institute of Technology,[University],2051,Xun Tang
6277,Massachusetts Institute of Technology,[University],2075,Tonglin Li
6277,Massachusetts Institute of Technology,[University],2114,Masaru Kitsuregawa
6277,Massachusetts Institute of Technology,[University],2145,Prasenjit Mitra
6277,Massachusetts Institute of Technology,[University],2361,Xiaxia Wang 0001
6277,Massachusetts Institute of Technology,[University],2424,Mathew Vis-Dunbar
6277,Massachusetts Institute of Technology,[University],2505,Ha-My Vuong
6277,Massachusetts Institute of Technology,[University],2564,Stephan Raaijmakers
6277,Massachusetts Institute of Technology,[University],2580,Michael R. Crusoe
6277,Massachusetts Institute of Technology,[University],2612,Tobias Kuhn
6277,Massachusetts Institute of Technology,[University],2624,Tobias Weigel
6277,Massachusetts Institute of Technology,[University],2695,Arie Baak
6277,Massachusetts Institute of Technology,[University],2708,Franciska de Jong
6277,Massachusetts Institute of Technology,[University],3033,Muskan Lalit
6277,Massachusetts Institute of Technology,[University],3088,Rui Wang
6277,Massachusetts Institute of Technology,[University],3091,Thong Vu
6277,Massachusetts Institute of Technology,[University],3130,Amir Jalalirad
6277,Massachusetts Institute of Technology,[University],3198,Blesson Varghese
6277,Massachusetts Institute of Technology,[University],3205,Paolo Manghi
6277,Massachusetts Institute of Technology,[University],3418,Christophe Courtin
